"well","time_point","row","plate_column","mean_pixel_value.x","med_pixel_value.x","max_pixel_value.x","total_pixel_value.x","num_pixels.x","num_saturated.x","six_well_position","name","inducer.x","distance_spot","spot_concentration_mM","baseFl","corrFl","noindFl","normFl","mean_pixel_value.y","med_pixel_value.y","max_pixel_value.y","total_pixel_value.y","num_pixels.y","num_saturated.y","inducer.y","baseOD","corrOD","growth_norm_Fl"
"D1",71,"D",1,0.255428467683369,0.137254901960784,0.603921568627451,110.345098039216,432,0,"A1","ZBD","IPTG",9,0,0.273429557007988,-0.018001089324619,-0.0102677097775137,-0.00773337954710525,0.425925925925926,0.427450980392157,0.443137254901961,61.3333333333333,144,0,"IPTG",0.270343137254902,0.155582788671024,-0.0497058807928767
"D1",72,"D",1,0.256726579520697,0.141176470588235,0.6,110.905882352941,432,0,"A1","ZBD","IPTG",9,0,0.273429557007988,-0.016702977487291,-0.0077680398758829,-0.00893493761140809,0.428622004357299,0.431372549019608,0.447058823529412,61.721568627451,144,0,"IPTG",0.270343137254902,0.158278867102396,-0.0564506037665014
"D10",0,"D",10,0.315885984023239,0.0823529411764706,0.854901960784314,136.462745098039,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,0,0,0,0.16661220043573,0.164705882352941,0.227450980392157,23.9921568627451,144,0,"IPTG",0.16661220043573,0,NA
"D10",1,"D",10,0.315622730573711,0.0784313725490196,0.858823529411765,136.349019607843,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.000263253449527989,-0.000327622631544092,6.43691820161026e-05,0.164842047930283,0.164705882352941,0.219607843137255,23.7372549019608,144,0,"IPTG",0.16661220043573,-0.00177015250544663,-0.0363636363635581
"D10",2,"D",10,0.3159767610748,0.0784313725490196,0.862745098039216,136.501960784314,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,9.07770515610196e-05,-0.000184029840892623,0.000274806892453643,0.163752723311547,0.164705882352941,0.207843137254902,23.5803921568627,144,0,"IPTG",0.16661220043573,-0.002859477124183,-0.0961038961037885
"D10",3,"D",10,0.316203703703704,0.0784313725490196,0.862745098039216,136.6,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,0.000317719680465012,-0.000203010497127994,0.000520730177593005,0.162282135076253,0.16078431372549,0.211764705882353,23.3686274509804,144,0,"IPTG",0.16661220043573,-0.00433006535947714,-0.120259195730912
"D10",4,"D",10,0.316294480755265,0.0784313725490196,0.866666666666667,136.639215686275,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,0.000408496732026031,-6.51944279393514e-05,0.000473691159965383,0.162091503267974,0.16078431372549,0.196078431372549,23.3411764705882,144,0,"IPTG",0.16661220043573,-0.00452069716775599,-0.104782767433306
"D10",5,"D",10,0.316766521423384,0.0803921568627451,0.862745098039216,136.843137254902,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,0.000880537400145043,-0.000115534429259813,0.000996071829404855,0.160757080610022,0.16078431372549,0.211764705882353,23.1490196078431,144,0,"IPTG",0.16661220043573,-0.00585511982570808,-0.170119802677889
"D10",6,"D",10,0.316367102396514,0.0784313725490196,0.858823529411765,136.670588235294,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,0.000481118373275025,-0.000209612464514437,0.000690730837789462,0.1619825708061,0.16078431372549,0.215686274509804,23.3254901960784,144,0,"IPTG",0.16661220043573,-0.00462962962962965,-0.149197860962523
"D10",7,"D",10,0.316466957153232,0.0784313725490196,0.87843137254902,136.713725490196,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,0.000580973129993001,-0.000340001320393453,0.000920974450386454,0.161328976034858,0.16078431372549,0.215686274509804,23.2313725490196,144,0,"IPTG",0.16661220043573,-0.00528322440087148,-0.174320524836033
"D10",8,"D",10,0.315740740740741,0.0784313725490196,0.862745098039216,136.4,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.000145243282497987,-0.000609031491384536,0.00046378820888655,0.163208061002178,0.162745098039215,0.211764705882353,23.5019607843137,144,0,"IPTG",0.16661220043573,-0.0034041394335512,-0.136242424242513
"D10",9,"D",10,0.315604575163399,0.0784313725490196,0.866666666666667,136.341176470588,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.00028140885983996,-0.000675051165247172,0.000393642305407212,0.163643790849673,0.16078431372549,0.231372549019608,23.5647058823529,144,0,"IPTG",0.16661220043573,-0.00296840958605665,-0.132610508757365
