well,time_point,row,plate_column,mean_pixel_value,med_pixel_value,max_pixel_value,total_pixel_value,num_pixels,num_saturated,six_well_position,name,spot_inducer,spot_concentration_mM,distance_spot
A12,49,A,12,0.076089325,0.074509804,0.08627451,10.95686275,144,0,A2,ZG,IPTG,5,13.5
A12,50,A,12,0.079956427,0.078431373,0.090196078,11.51372549,144,0,A2,ZG,IPTG,5,13.5
A12,51,A,12,0.083006536,0.082352941,0.094117647,11.95294118,144,0,A2,ZG,IPTG,5,13.5
A12,52,A,12,0.086819172,0.08627451,0.098039216,12.50196078,144,0,A2,ZG,IPTG,5,13.5
A12,53,A,12,0.090577342,0.090196078,0.101960784,13.04313725,144,0,A2,ZG,IPTG,5,13.5
A12,54,A,12,0.094880174,0.094117647,0.105882353,13.6627451,144,0,A2,ZG,IPTG,5,13.5
A12,55,A,12,0.098638344,0.098039216,0.11372549,14.20392157,144,0,A2,ZG,IPTG,5,13.5
A12,56,A,12,0.102505447,0.101960784,0.117647059,14.76078431,144,0,A2,ZG,IPTG,5,13.5
A12,57,A,12,0.107543573,0.105882353,0.121568627,15.48627451,144,0,A2,ZG,IPTG,5,13.5
A12,58,A,12,0.111574074,0.109803922,0.125490196,16.06666667,144,0,A2,ZG,IPTG,5,13.5
A12,59,A,12,0.11712963,0.117647059,0.129411765,16.86666667,144,0,A2,ZG,IPTG,5,13.5
A12,60,A,12,0.1208061,0.121568627,0.137254902,17.39607843,144,0,A2,ZG,IPTG,5,13.5
A12,61,A,12,0.12622549,0.125490196,0.141176471,18.17647059,144,0,A2,ZG,IPTG,5,13.5
A21,0,A,21,0.024727669,0.023529412,0.031372549,3.560784314,144,0,A3,ZG,IPTG,10,13.5
A21,1,A,21,0.024455338,0.023529412,0.031372549,3.521568627,144,0,A3,ZG,IPTG,10,13.5
A21,2,A,21,0.02421024,0.023529412,0.031372549,3.48627451,144,0,A3,ZG,IPTG,10,13.5
A21,3,A,21,0.02412854,0.023529412,0.02745098,3.474509804,144,0,A3,ZG,IPTG,10,13.5
A21,4,A,21,0.024346405,0.023529412,0.02745098,3.505882353,144,0,A3,ZG,IPTG,10,13.5
A21,5,A,21,0.024046841,0.023529412,0.031372549,3.462745098,144,0,A3,ZG,IPTG,10,13.5
A21,6,A,21,0.024373638,0.023529412,0.02745098,3.509803922,144,0,A3,ZG,IPTG,10,13.5
A21,7,A,21,0.023910675,0.023529412,0.031372549,3.443137255,144,0,A3,ZG,IPTG,10,13.5
A21,8,A,21,0.024183007,0.023529412,0.031372549,3.482352941,144,0,A3,ZG,IPTG,10,13.5
A21,9,A,21,0.023937908,0.023529412,0.031372549,3.447058824,144,0,A3,ZG,IPTG,10,13.5
A21,10,A,21,0.023992375,0.023529412,0.031372549,3.454901961,144,0,A3,ZG,IPTG,10,13.5
A21,11,A,21,0.024101307,0.023529412,0.02745098,3.470588235,144,0,A3,ZG,IPTG,10,13.5
A21,12,A,21,0.023883442,0.023529412,0.02745098,3.439215686,144,0,A3,ZG,IPTG,10,13.5
A21,13,A,21,0.023883442,0.023529412,0.02745098,3.439215686,144,0,A3,ZG,IPTG,10,13.5
A21,14,A,21,0.023556645,0.023529412,0.02745098,3.392156863,144,0,A3,ZG,IPTG,10,13.5
A21,15,A,21,0.024155773,0.023529412,0.031372549,3.478431373,144,0,A3,ZG,IPTG,10,13.5
A21,16,A,21,0.023992375,0.023529412,0.02745098,3.454901961,144,0,A3,ZG,IPTG,10,13.5
A21,17,A,21,0.023828976,0.023529412,0.031372549,3.431372549,144,0,A3,ZG,IPTG,10,13.5
A21,18,A,21,0.024264706,0.023529412,0.02745098,3.494117647,144,0,A3,ZG,IPTG,10,13.5
A21,19,A,21,0.024455338,0.023529412,0.02745098,3.521568627,144,0,A3,ZG,IPTG,10,13.5
A21,20,A,21,0.024101307,0.023529412,0.031372549,3.470588235,144,0,A3,ZG,IPTG,10,13.5
A21,21,A,21,0.025136166,0.023529412,0.031372549,3.619607843,144,0,A3,ZG,IPTG,10,13.5
A21,22,A,21,0.024836601,0.023529412,0.031372549,3.576470588,144,0,A3,ZG,IPTG,10,13.5
A21,23,A,21,0.025462963,0.023529412,0.031372549,3.666666667,144,0,A3,ZG,IPTG,10,13.5
A21,24,A,21,0.025626362,0.02745098,0.031372549,3.690196078,144,0,A3,ZG,IPTG,10,13.5
A21,25,A,21,0.025980392,0.02745098,0.031372549,3.741176471,144,0,A3,ZG,IPTG,10,13.5
A21,26,A,21,0.026497821,0.02745098,0.031372549,3.815686275,144,0,A3,ZG,IPTG,10,13.5
A21,27,A,21,0.026606754,0.02745098,0.031372549,3.831372549,144,0,A3,ZG,IPTG,10,13.5
A21,28,A,21,0.027805011,0.02745098,0.031372549,4.003921569,144,0,A3,ZG,IPTG,10,13.5
A21,29,A,21,0.027777778,0.02745098,0.031372549,4,144,0,A3,ZG,IPTG,10,13.5
A21,30,A,21,0.028622004,0.02745098,0.035294118,4.121568627,144,0,A3,ZG,IPTG,10,13.5
A21,31,A,21,0.029847495,0.031372549,0.035294118,4.298039216,144,0,A3,ZG,IPTG,10,13.5
A21,32,A,21,0.030392157,0.031372549,0.035294118,4.376470588,144,0,A3,ZG,IPTG,10,13.5
A21,33,A,21,0.031372549,0.031372549,0.039215686,4.517647059,144,0,A3,ZG,IPTG,10,13.5
A21,34,A,21,0.03251634,0.031372549,0.039215686,4.682352941,144,0,A3,ZG,IPTG,10,13.5
A21,35,A,21,0.0333878,0.031372549,0.039215686,4.807843137,144,0,A3,ZG,IPTG,10,13.5
A21,36,A,21,0.034831155,0.035294118,0.043137255,5.015686275,144,0,A3,ZG,IPTG,10,13.5
A21,37,A,21,0.036220044,0.035294118,0.043137255,5.215686275,144,0,A3,ZG,IPTG,10,13.5
A21,38,A,21,0.037445534,0.039215686,0.043137255,5.392156863,144,0,A3,ZG,IPTG,10,13.5
A21,39,A,21,0.038970588,0.039215686,0.047058824,5.611764706,144,0,A3,ZG,IPTG,10,13.5
A21,40,A,21,0.040740741,0.039215686,0.050980392,5.866666667,144,0,A3,ZG,IPTG,10,13.5
A21,41,A,21,0.042184096,0.043137255,0.047058824,6.074509804,144,0,A3,ZG,IPTG,10,13.5
A21,42,A,21,0.044117647,0.043137255,0.050980392,6.352941176,144,0,A3,ZG,IPTG,10,13.5
A21,43,A,21,0.045206972,0.047058824,0.050980392,6.509803922,144,0,A3,ZG,IPTG,10,13.5
A21,44,A,21,0.047249455,0.047058824,0.054901961,6.803921569,144,0,A3,ZG,IPTG,10,13.5
A21,45,A,21,0.048801743,0.047058824,0.054901961,7.02745098,144,0,A3,ZG,IPTG,10,13.5
A21,46,A,21,0.050816993,0.050980392,0.058823529,7.317647059,144,0,A3,ZG,IPTG,10,13.5
A21,47,A,21,0.053022876,0.054901961,0.062745098,7.635294118,144,0,A3,ZG,IPTG,10,13.5
A21,48,A,21,0.055718954,0.054901961,0.066666667,8.023529412,144,0,A3,ZG,IPTG,10,13.5
A21,49,A,21,0.057761438,0.058823529,0.066666667,8.317647059,144,0,A3,ZG,IPTG,10,13.5
A21,50,A,21,0.06040305,0.058823529,0.070588235,8.698039216,144,0,A3,ZG,IPTG,10,13.5
A21,51,A,21,0.062908497,0.062745098,0.074509804,9.058823529,144,0,A3,ZG,IPTG,10,13.5
A21,52,A,21,0.065332244,0.066666667,0.074509804,9.407843137,144,0,A3,ZG,IPTG,10,13.5
A21,53,A,21,0.067619826,0.066666667,0.074509804,9.737254902,144,0,A3,ZG,IPTG,10,13.5
A21,54,A,21,0.071023965,0.070588235,0.08627451,10.22745098,144,0,A3,ZG,IPTG,10,13.5
A21,55,A,21,0.073638344,0.074509804,0.08627451,10.60392157,144,0,A3,ZG,IPTG,10,13.5
A21,56,A,21,0.076252723,0.078431373,0.090196078,10.98039216,144,0,A3,ZG,IPTG,10,13.5
A21,57,A,21,0.079684096,0.078431373,0.090196078,11.4745098,144,0,A3,ZG,IPTG,10,13.5
A21,58,A,21,0.082706972,0.082352941,0.094117647,11.90980392,144,0,A3,ZG,IPTG,10,13.5
A21,59,A,21,0.086328976,0.08627451,0.098039216,12.43137255,144,0,A3,ZG,IPTG,10,13.5
A21,60,A,21,0.089760349,0.090196078,0.101960784,12.9254902,144,0,A3,ZG,IPTG,10,13.5
A21,61,A,21,0.092701525,0.094117647,0.105882353,13.34901961,144,0,A3,ZG,IPTG,10,13.5
A3,0,A,3,0.024673203,0.023529412,0.02745098,3.552941176,144,0,A1,ZG,IPTG,0,13.5
A3,1,A,3,0.024237473,0.023529412,0.02745098,3.490196078,144,0,A1,ZG,IPTG,0,13.5
A3,2,A,3,0.024291939,0.023529412,0.02745098,3.498039216,144,0,A1,ZG,IPTG,0,13.5
A3,3,A,3,0.023965142,0.023529412,0.031372549,3.450980392,144,0,A1,ZG,IPTG,0,13.5
A3,4,A,3,0.024237473,0.023529412,0.02745098,3.490196078,144,0,A1,ZG,IPTG,0,13.5
