"well","time_point","row","plate_column","mean_pixel_value","med_pixel_value","max_pixel_value","total_pixel_value","num_pixels","num_saturated","six_well_position","name","inducer","concentration_uM"
"A12",0,"A",12,0.0270152505446623,0.0274509803921569,0.0313725490196078,3.89019607843138,144,0,"A2","ZBD","IPTG",1
"A12",1,"A",12,0.0270969498910676,0.0274509803921569,0.0313725490196078,3.90196078431373,144,0,"A2","ZBD","IPTG",1
"A12",2,"A",12,0.026525054466231,0.0274509803921569,0.0313725490196078,3.81960784313726,144,0,"A2","ZBD","IPTG",1
"A12",3,"A",12,0.0263888888888889,0.0274509803921569,0.0313725490196078,3.8,144,0,"A2","ZBD","IPTG",1
"A12",4,"A",12,0.0266339869281046,0.0274509803921569,0.0313725490196078,3.83529411764706,144,0,"A2","ZBD","IPTG",1
"A12",5,"A",12,0.0267701525054466,0.0274509803921569,0.0313725490196078,3.85490196078432,144,0,"A2","ZBD","IPTG",1
"A12",6,"A",12,0.0268246187363835,0.0274509803921569,0.0352941176470588,3.86274509803922,144,0,"A2","ZBD","IPTG",1
"A12",7,"A",12,0.0268246187363835,0.0274509803921569,0.0313725490196078,3.86274509803922,144,0,"A2","ZBD","IPTG",1
"A12",8,"A",12,0.0266884531590414,0.0274509803921569,0.0313725490196078,3.84313725490196,144,0,"A2","ZBD","IPTG",1
"A12",9,"A",12,0.0269607843137255,0.0274509803921569,0.0313725490196078,3.88235294117647,144,0,"A2","ZBD","IPTG",1
"A12",10,"A",12,0.0267429193899782,0.0274509803921569,0.0313725490196078,3.85098039215687,144,0,"A2","ZBD","IPTG",1
"A12",11,"A",12,0.0265795206971678,0.0274509803921569,0.0313725490196078,3.82745098039216,144,0,"A2","ZBD","IPTG",1
"A12",12,"A",12,0.0269063180827887,0.0274509803921569,0.0313725490196078,3.87450980392157,144,0,"A2","ZBD","IPTG",1
"A12",13,"A",12,0.0266884531590414,0.0274509803921569,0.0313725490196078,3.84313725490196,144,0,"A2","ZBD","IPTG",1
"A12",14,"A",12,0.0265795206971678,0.0274509803921569,0.0313725490196078,3.82745098039216,144,0,"A2","ZBD","IPTG",1
"A12",15,"A",12,0.026661220043573,0.0274509803921569,0.0352941176470588,3.83921568627451,144,0,"A2","ZBD","IPTG",1
"A12",16,"A",12,0.0265522875816994,0.0274509803921569,0.0313725490196078,3.82352941176471,144,0,"A2","ZBD","IPTG",1
"A12",17,"A",12,0.0264978213507625,0.0274509803921569,0.0313725490196078,3.81568627450981,144,0,"A2","ZBD","IPTG",1
"A12",18,"A",12,0.0266067538126362,0.0274509803921569,0.0313725490196078,3.83137254901961,144,0,"A2","ZBD","IPTG",1
"A12",19,"A",12,0.0267429193899782,0.0274509803921569,0.0352941176470588,3.85098039215687,144,0,"A2","ZBD","IPTG",1
"A12",20,"A",12,0.0268518518518519,0.0274509803921569,0.0313725490196078,3.86666666666667,144,0,"A2","ZBD","IPTG",1
"A12",21,"A",12,0.0262254901960785,0.0274509803921569,0.0313725490196078,3.7764705882353,144,0,"A2","ZBD","IPTG",1
"A12",22,"A",12,0.0269607843137255,0.0274509803921569,0.0313725490196078,3.88235294117647,144,0,"A2","ZBD","IPTG",1
"A12",23,"A",12,0.0269335511982571,0.0274509803921569,0.0313725490196078,3.87843137254902,144,0,"A2","ZBD","IPTG",1
"A12",24,"A",12,0.0269063180827887,0.0274509803921569,0.0313725490196078,3.87450980392157,144,0,"A2","ZBD","IPTG",1
"A12",25,"A",12,0.027124183006536,0.0274509803921569,0.0313725490196078,3.90588235294118,144,0,"A2","ZBD","IPTG",1
"A12",26,"A",12,0.0274509803921569,0.0274509803921569,0.0313725490196078,3.95294117647059,144,0,"A2","ZBD","IPTG",1
"A12",27,"A",12,0.027124183006536,0.0274509803921569,0.0313725490196078,3.90588235294118,144,0,"A2","ZBD","IPTG",1
"A12",28,"A",12,0.0272875816993464,0.0274509803921569,0.0313725490196078,3.92941176470589,144,0,"A2","ZBD","IPTG",1
"A12",29,"A",12,0.0274782135076253,0.0274509803921569,0.0313725490196078,3.95686274509804,144,0,"A2","ZBD","IPTG",1
"A12",30,"A",12,0.0276416122004358,0.0274509803921569,0.0313725490196078,3.98039215686275,144,0,"A2","ZBD","IPTG",1
"A12",31,"A",12,0.0280501089324619,0.0274509803921569,0.0313725490196078,4.03921568627451,144,0,"A2","ZBD","IPTG",1
"A12",32,"A",12,0.0278050108932462,0.0274509803921569,0.0352941176470588,4.00392156862745,144,0,"A2","ZBD","IPTG",1
"A12",33,"A",12,0.0285947712418301,0.0274509803921569,0.0352941176470588,4.11764705882353,144,0,"A2","ZBD","IPTG",1
"A12",34,"A",12,0.0286764705882353,0.0274509803921569,0.0352941176470588,4.12941176470588,144,0,"A2","ZBD","IPTG",1
"A12",35,"A",12,0.0288126361655773,0.0274509803921569,0.0352941176470588,4.14901960784314,144,0,"A2","ZBD","IPTG",1
"A12",36,"A",12,0.0292483660130719,0.0274509803921569,0.0313725490196078,4.21176470588235,144,0,"A2","ZBD","IPTG",1
"A12",37,"A",12,0.0297657952069717,0.0313725490196078,0.0352941176470588,4.28627450980392,144,0,"A2","ZBD","IPTG",1
"A12",38,"A",12,0.0300925925925926,0.0313725490196078,0.0352941176470588,4.33333333333333,144,0,"A2","ZBD","IPTG",1
"A12",39,"A",12,0.0303921568627451,0.0313725490196078,0.0392156862745098,4.37647058823529,144,0,"A2","ZBD","IPTG",1
"A12",40,"A",12,0.0306917211328976,0.0313725490196078,0.0352941176470588,4.41960784313725,144,0,"A2","ZBD","IPTG",1
