"well","time_point","row","plate_column","mean_pixel_value","med_pixel_value","max_pixel_value","total_pixel_value","num_pixels","num_saturated","inducer","concentration_uM"
"A1",0,"A",1,0.0594226579520697,0.0588235294117647,0.0745098039215686,8.55686274509804,144,0,"",NA
"A1",1,"A",1,0.0584694989106754,0.0588235294117647,0.0666666666666667,8.41960784313726,144,0,"",NA
"A1",2,"A",1,0.0581427015250545,0.0588235294117647,0.0745098039215686,8.37254901960784,144,0,"",NA
"A1",3,"A",1,0.0575980392156863,0.0588235294117647,0.0745098039215686,8.29411764705882,144,0,"",NA
"A1",4,"A",1,0.0576252723311547,0.0588235294117647,0.0666666666666667,8.29803921568628,144,0,"",NA
"A1",5,"A",1,0.0574074074074074,0.0588235294117647,0.0666666666666667,8.26666666666667,144,0,"",NA
"A1",6,"A",1,0.0577342047930283,0.0588235294117647,0.0666666666666667,8.31372549019608,144,0,"",NA
"A1",7,"A",1,0.0578976034858388,0.0588235294117647,0.0666666666666667,8.33725490196078,144,0,"",NA
"A1",8,"A",1,0.0575980392156863,0.0588235294117647,0.0705882352941176,8.29411764705882,144,0,"",NA
"A1",9,"A",1,0.0579248366013072,0.0588235294117647,0.0666666666666667,8.34117647058824,144,0,"",NA
"A1",10,"A",1,0.0575980392156863,0.0588235294117647,0.0666666666666667,8.29411764705882,144,0,"",NA
"A1",11,"A",1,0.0578703703703704,0.0588235294117647,0.0627450980392157,8.33333333333333,144,0,"",NA
"A1",12,"A",1,0.0578159041394335,0.0588235294117647,0.0666666666666667,8.32549019607843,144,0,"",NA
"A1",13,"A",1,0.0578976034858388,0.0588235294117647,0.0627450980392157,8.33725490196078,144,0,"",NA
"A1",14,"A",1,0.0584150326797386,0.0588235294117647,0.0666666666666667,8.41176470588235,144,0,"",NA
"A1",15,"A",1,0.0582516339869281,0.0588235294117647,0.0627450980392157,8.38823529411765,144,0,"",NA
"A1",16,"A",1,0.0588779956427015,0.0588235294117647,0.0627450980392157,8.47843137254902,144,0,"",NA
"A1",17,"A",1,0.0588235294117647,0.0588235294117647,0.0666666666666667,8.47058823529412,144,0,"",NA
"A1",18,"A",1,0.0600490196078431,0.0588235294117647,0.0666666666666667,8.64705882352941,144,0,"",NA
"A1",19,"A",1,0.0605119825708061,0.0588235294117647,0.0666666666666667,8.71372549019608,144,0,"",NA
"A1",20,"A",1,0.0616557734204793,0.0627450980392157,0.0705882352941176,8.87843137254902,144,0,"",NA
"A1",21,"A",1,0.0619553376906318,0.0627450980392157,0.0705882352941176,8.92156862745098,144,0,"",NA
"A1",22,"A",1,0.0621732026143791,0.0627450980392157,0.0705882352941176,8.95294117647059,144,0,"",NA
"A1",23,"A",1,0.0634259259259259,0.0627450980392157,0.0705882352941176,9.13333333333333,144,0,"",NA
"A1",24,"A",1,0.0641339869281046,0.0627450980392157,0.0705882352941176,9.23529411764706,144,0,"",NA
"A1",25,"A",1,0.0652777777777778,0.0666666666666667,0.0705882352941176,9.4,144,0,"",NA
"A1",26,"A",1,0.0661764705882353,0.0666666666666667,0.0745098039215686,9.52941176470588,144,0,"",NA
"A1",27,"A",1,0.0673474945533769,0.0666666666666667,0.0745098039215686,9.69803921568627,144,0,"",NA
"A1",28,"A",1,0.0685729847494553,0.0666666666666667,0.0745098039215686,9.87450980392157,144,0,"",NA
"A1",29,"A",1,0.0692538126361656,0.0705882352941176,0.0745098039215686,9.97254901960784,144,0,"",NA
"A1",30,"A",1,0.0709967320261438,0.0705882352941176,0.0784313725490196,10.2235294117647,144,0,"",NA
"A1",31,"A",1,0.0715686274509804,0.0705882352941176,0.0784313725490196,10.3058823529412,144,0,"",NA
"A1",32,"A",1,0.0736928104575163,0.0745098039215686,0.0823529411764706,10.6117647058824,144,0,"",NA
"A1",33,"A",1,0.0755446623093682,0.0745098039215686,0.0823529411764706,10.878431372549,144,0,"",NA
"A1",34,"A",1,0.0770152505446623,0.0784313725490196,0.0862745098039216,11.0901960784314,144,0,"",NA
"A1",35,"A",1,0.0799019607843137,0.0784313725490196,0.0901960784313725,11.5058823529412,144,0,"",NA
