"well","time_point","row","plate_column","mean_pixel_value","med_pixel_value","max_pixel_value","total_pixel_value","num_pixels","num_saturated","six_well_position","name","inducer","concentration_uM"
"A12",0,"A",12,0.201960784313725,0.203921568627451,0.227450980392157,29.0823529411765,144,0,"A2","ZBD","IPTG",1
"A12",1,"A",12,0.199809368191721,0.2,0.227450980392157,28.7725490196078,144,0,"A2","ZBD","IPTG",1
"A12",2,"A",12,0.200980392156863,0.2,0.231372549019608,28.9411764705882,144,0,"A2","ZBD","IPTG",1
"A12",3,"A",12,0.199918300653595,0.2,0.223529411764706,28.7882352941176,144,0,"A2","ZBD","IPTG",1
"A12",4,"A",12,0.198366013071895,0.196078431372549,0.231372549019608,28.5647058823529,144,0,"A2","ZBD","IPTG",1
"A12",5,"A",12,0.1989651416122,0.2,0.223529411764706,28.6509803921569,144,0,"A2","ZBD","IPTG",1
"A12",6,"A",12,0.199346405228758,0.2,0.223529411764706,28.7058823529412,144,0,"A2","ZBD","IPTG",1
"A12",7,"A",12,0.199537037037037,0.2,0.223529411764706,28.7333333333333,144,0,"A2","ZBD","IPTG",1
"A12",8,"A",12,0.199863834422658,0.2,0.219607843137255,28.7803921568627,144,0,"A2","ZBD","IPTG",1
"A12",9,"A",12,0.199564270152505,0.2,0.219607843137255,28.7372549019608,144,0,"A2","ZBD","IPTG",1
"A12",10,"A",12,0.200925925925926,0.2,0.223529411764706,28.9333333333333,144,0,"A2","ZBD","IPTG",1
"A12",11,"A",12,0.200599128540305,0.2,0.231372549019608,28.8862745098039,144,0,"A2","ZBD","IPTG",1
"A12",12,"A",12,0.201851851851852,0.2,0.23921568627451,29.0666666666667,144,0,"A2","ZBD","IPTG",1
"A12",13,"A",12,0.200925925925926,0.2,0.223529411764706,28.9333333333333,144,0,"A2","ZBD","IPTG",1
"A12",14,"A",12,0.202777777777778,0.201960784313725,0.227450980392157,29.2,144,0,"A2","ZBD","IPTG",1
"A12",15,"A",12,0.20223311546841,0.2,0.223529411764706,29.121568627451,144,0,"A2","ZBD","IPTG",1
"A12",16,"A",12,0.203159041394336,0.203921568627451,0.235294117647059,29.2549019607843,144,0,"A2","ZBD","IPTG",1
"A12",17,"A",12,0.205337690631808,0.203921568627451,0.231372549019608,29.5686274509804,144,0,"A2","ZBD","IPTG",1
